zone,lake,region,n_years,temp_per_decade,temp_q,do_mgL_per_decade,do_mgL_q,do_sat_per_decade,do_sat_q
Spring Mixing,Trout Lake,Northern,29,0.131837584773444,0.272141644781853,-0.100488710219546,0.60575960193393,-0.571441084901062,0.759353843439782
Spring Mixing,Big Muskellunge Lake,Northern,24,0.412079630405249,0.0959579403149907,0.120966417956119,0.684295275741368,0.694231616388246,0.672946194774742
Spring Mixing,Crystal Lake,Northern,16,-0.219070170775253,0.402942421612451,0.183978838436553,0.499048117244932,1.12663184609539,0.499048117244932
Spring Mixing,Sparkling Lake,Northern,17,0.102026804307777,0.869476034147797,0.13452140839126,0.869476034147797,0.698194228764652,0.869476034147797
Spring Mixing,Allequash Lake,Northern,30,0.125425474275472,0.763720129343846,-0.154674616649981,0.685808202477879,-0.0789630291233562,1
Spring Mixing,Trout Bog,Northern,17,0.190555959123897,0.0224968586025644,-0.211562242560119,0.135563453339549,-1.64710694878243,0.146884912752631
Spring Mixing,Lake Mendota,Southern,25,-0.240953776960838,0.543698832125305,0.750842904439435,0.336575648240757,3.71996284843142,0.336575648240757
Spring Mixing,Lake Monona,Southern,23,-0.124622430210501,0.95785991326958,-0.00592549277690324,0.95785991326958,0.818181818181836,0.890102609484951
Epilimnion,Trout Lake,Northern,45,0.448707636786455,0.000706878874241267,-0.0376599334694196,0.272141644781853,0.727189843389209,0.0118391657029536
Epilimnion,Big Muskellunge Lake,Northern,45,0.339230291290126,0.0100036880324681,0.0291919393346683,0.362288507028826,1.01404519566366,0.0047752099474512
Epilimnion,Crystal Lake,Northern,43,0.488526275494509,0.000101591868675779,-0.00322195501520757,0.826047301414026,0.899394870083006,0.000249368184848785
Epilimnion,Sparkling Lake,Northern,45,0.336879459367565,0.00430874097771069,0.0235342903894654,0.641087368219671,1.2091209721004,1.83305641586809e-05
Epilimnion,Allequash Lake,Northern,45,0.25086389901856,0.368518590050046,0.0445350798969056,0.412013912007608,1.08788929942937,0.0435352681087637
Epilimnion,Trout Bog,Northern,45,0.388460456011389,0.00759296131648835,-0.385729088320907,0.000356924899231995,-3.27496483359376,0.00485095717218057
Epilimnion,Crystal Bog,Northern,45,0.329963540248994,0.0175004485224436,-0.134256730436217,0.0314463939122826,-1.02981216653766,0.183874708919995
Epilimnion,Lake Mendota,Southern,31,0.498534346193669,0.042473742084957,0.159268794696363,0.498078499036262,2.90547244527854,0.336575648240757
Epilimnion,Lake Monona,Southern,31,0.351013527065656,0.141703488021005,0.133564684029901,0.862317217871064,3.41512218828594,0.33928354629372
Epilimnion,Fish Lake,Southern,30,0.582893062576617,0.0759305774820629,-0.124291035679266,0.684438728158489,0.288169247423724,0.872432652664989
Epilimnion,Lake Wingra,Southern,30,0.251685044688838,0.1941445962419,-0.0840311748845421,0.664475723973285,0.614467822600867,0.681553830004365
Metalimnion,Trout Lake,Northern,45,0.189965810791744,0.272141644781853,0.228123312019585,0.272141644781853,2.5236820399721,0.272141644781853
